index,nr_links,verbos,substantivos,adverbios,pronomes,artigos,adjetivo,numerais,preposicoes,conjuncoes,interjeicoes,verbos_modais,n_palvaras,prop_palavras_erradas,n_camel_case,n_upper_case,n_pronome_1,n_pronome_1_plural,n_pronome_2,n_characteres,avg_sentence,avg_word_length
1045,0,31,50,11,5,17,10,4,20,9,0,0,163,0.036585365853658534,16,3,0,0,1,994,18.88888888888889,4.766871165644171
1046,0,35,90,12,10,34,17,16,55,9,0,0,282,0.0353356890459364,7,6,2,1,1,1761,22.23076923076923,5.053191489361702
1047,0,23,58,10,6,21,13,4,27,11,0,0,186,0.03208556149732621,7,8,1,0,0,1138,16.083333333333332,4.811827956989247
1048,0,19,30,5,5,10,4,1,10,3,0,1,90,0.05555555555555555,12,2,0,0,1,577,15.666666666666666,4.955555555555556
1049,0,17,30,3,3,10,5,1,12,6,0,1,90,0.03296703296703297,10,10,0,0,0,552,13.285714285714286,4.844444444444444
105,0,86,292,31,26,76,20,21,121,29,0,3,704,0.09026798307475317,78,19,3,2,6,4247,22.870967741935484,4.748579545454546
1050,0,20,44,9,3,18,8,0,15,7,0,1,130,0.03076923076923077,12,4,0,0,0,761,16.5,4.6923076923076925
1051,0,38,44,6,9,25,2,5,19,9,0,1,169,0.011834319526627219,4,6,0,1,3,966,10.625,4.568047337278107
1052,0,25,64,9,3,23,7,2,32,8,0,0,179,0.061452513966480445,21,4,0,0,1,1066,16.454545454545453,4.737430167597766
1053,0,72,180,26,21,88,28,4,80,16,0,1,537,0.03710575139146568,32,12,0,1,1,3440,24.727272727272727,5.223463687150838
1054,0,26,58,7,8,18,2,2,25,5,0,2,152,0.05263157894736842,17,6,0,0,0,907,17.11111111111111,4.776315789473684
1055,0,14,18,3,4,10,5,0,7,5,0,0,73,0.0410958904109589,2,1,1,0,1,448,12.333333333333334,4.8493150684931505
1056,0,27,62,8,4,30,6,1,17,6,0,0,167,0.041916167664670656,13,4,0,0,1,1063,19.0,5.203592814371257
1057,0,34,72,10,5,28,14,7,30,10,0,0,223,0.06278026905829596,21,5,1,0,1,1387,15.266666666666667,4.869955156950673
1058,0,13,34,2,2,7,4,0,11,6,0,0,82,0.12195121951219512,14,4,0,1,0,514,21.5,4.841463414634147
1059,0,39,100,13,6,39,22,2,42,18,0,1,296,0.030405405405405407,20,9,0,0,0,1884,23.384615384615383,5.114864864864865
106,0,33,89,9,10,38,5,4,42,9,0,0,244,0.06147540983606557,27,8,2,0,2,1491,20.333333333333332,4.868852459016393
1060,0,19,47,3,4,19,8,3,20,3,0,1,134,0.07462686567164178,13,9,0,0,0,751,19.142857142857142,4.380597014925373
1061,0,41,93,10,11,48,19,5,38,13,0,2,287,0.09059233449477352,25,15,1,1,2,1674,19.466666666666665,4.609756097560975
1062,0,17,37,4,6,13,4,2,18,5,1,2,109,0.01834862385321101,8,1,1,0,0,653,18.5,4.752293577981652
1063,0,25,61,13,9,24,8,1,19,8,0,1,169,0.07692307692307693,11,2,1,0,2,1042,17.2,4.834319526627219
1064,0,27,49,11,14,15,7,1,17,7,0,3,149,0.040268456375838924,12,3,0,0,2,847,13.727272727272727,4.4630872483221475
1065,0,23,46,8,5,23,6,7,28,5,0,1,162,0.04938271604938271,11,9,0,1,0,954,15.0,4.598765432098766
1066,0,30,71,12,7,27,7,6,35,15,0,1,228,0.08333333333333333,27,12,0,0,3,1356,21.09090909090909,4.68859649122807
1067,0,32,49,13,13,15,7,5,27,10,0,1,176,0.03977272727272727,18,7,1,0,1,1089,20.11111111111111,4.903409090909091
1068,0,41,83,16,8,26,7,1,27,14,0,0,232,0.05603448275862069,17,6,0,0,2,1400,21.636363636363637,4.737068965517241
1069,0,20,42,5,3,17,9,1,25,6,0,2,133,0.015037593984962405,1,1,0,0,1,833,19.285714285714285,5.142857142857143
107,0,61,117,18,11,40,19,9,49,18,0,5,345,0.057971014492753624,22,11,2,0,5,2172,16.227272727272727,5.0318840579710145
1070,0,4,13,0,0,1,0,0,1,0,0,0,18,0.2777777777777778,4,2,0,0,0,116,9.0,5.0
1071,0,32,68,10,9,29,14,1,27,4,0,1,197,0.07106598984771574,13,3,0,0,1,1286,15.307692307692308,5.309644670050761
1072,0,35,87,12,15,30,8,3,27,10,2,1,231,0.03463203463203463,13,7,1,0,2,1341,13.823529411764707,4.588744588744588
1073,0,22,51,4,2,20,4,2,19,5,0,0,132,0.09090909090909091,13,2,0,0,1,810,19.571428571428573,4.901515151515151
1074,0,19,46,5,5,21,9,1,25,4,0,0,142,0.09154929577464789,15,5,0,0,0,863,18.25,4.809859154929577
1075,0,36,81,18,20,24,8,9,28,12,0,0,241,0.04979253112033195,32,8,9,0,1,1432,24.7,4.580912863070539
1076,0,20,24,7,7,11,2,3,10,6,0,0,93,0.010752688172043012,4,1,0,1,1,537,11.875,4.612903225806452
1077,0,36,75,10,8,37,37,6,43,14,0,0,272,0.03676470588235294,8,8,0,0,2,1782,19.5,5.444852941176471
1078,0,19,51,7,1,13,4,0,22,7,0,0,131,0.015267175572519083,10,4,0,0,0,798,13.3,4.916030534351145
1079,0,27,61,6,13,25,5,2,21,14,0,2,180,0.06111111111111111,15,3,0,0,3,1105,31.0,4.805555555555555
108,0,31,59,13,7,25,4,2,22,10,0,0,180,0.08333333333333333,20,10,0,0,1,1030,25.714285714285715,4.566666666666666
1080,0,32,62,11,5,33,18,2,17,10,0,0,199,0.035175879396984924,12,9,0,0,0,1256,13.333333333333334,5.14070351758794
1081,0,20,30,8,6,12,4,1,10,6,2,0,95,0.06315789473684211,6,6,0,0,2,525,16.166666666666668,4.252631578947368
1082,0,22,44,7,2,14,0,1,12,7,0,0,110,0.03636363636363636,14,9,0,0,0,697,14.375,4.9363636363636365
1083,0,22,56,2,5,20,5,2,28,8,0,0,154,0.01948051948051948,14,2,0,0,2,921,19.375,4.805194805194805
1084,0,18,24,8,5,10,3,3,9,4,1,1,93,0.043010752688172046,5,2,1,0,0,583,11.875,5.075268817204301
1085,0,29,40,3,8,16,5,1,17,10,0,0,136,0.04411764705882353,9,6,0,0,4,810,15.11111111111111,4.794117647058823
1086,0,33,94,9,8,30,12,1,32,7,0,1,230,0.06956521739130435,22,3,0,1,0,1459,19.5,5.047826086956522
1087,0,56,95,16,22,29,29,2,32,13,1,3,297,0.05387205387205387,17,27,0,1,5,1943,28.09090909090909,5.191919191919192
1088,0,13,49,6,2,13,3,3,19,4,0,1,117,0.10256410256410256,13,7,0,0,0,710,14.75,4.837606837606837
1089,0,18,58,4,4,15,12,1,22,5,0,0,141,0.06382978723404255,11,1,0,0,0,886,18.125,4.99290780141844
109,0,47,167,15,10,42,10,5,57,13,0,1,379,0.079155672823219,55,19,0,2,3,2315,21.055555555555557,4.87335092348285
1090,0,32,77,10,6,27,15,2,16,5,0,3,195,0.06666666666666667,11,7,1,0,0,1288,16.666666666666668,5.2615384615384615
1091,0,25,65,11,3,26,7,4,24,5,0,0,179,0.0893854748603352,14,6,0,0,0,1103,20.0,5.022346368715084
1092,0,32,61,9,12,21,10,0,25,7,0,0,181,0.04419889502762431,16,5,2,0,2,1110,14.153846153846153,4.861878453038674
1093,0,13,45,2,2,10,4,4,13,4,0,0,106,0.10377358490566038,15,5,0,0,0,634,17.833333333333332,4.745283018867925
1094,0,22,33,8,6,10,4,3,12,3,0,0,100,0.02,4,2,0,0,1,635,26.5,4.93
1095,0,2,4,0,1,3,0,1,1,1,0,0,14,0.07142857142857142,2,0,0,0,0,73,7.5,4.0
1096,0,13,23,4,0,9,5,1,9,1,0,2,65,0.09230769230769231,5,2,0,0,0,399,11.333333333333334,4.846153846153846
1097,0,40,65,11,10,28,9,3,26,10,1,3,204,0.05339805825242718,22,8,1,1,0,1196,21.4,4.470588235294118
1098,0,23,73,7,4,19,19,1,32,6,0,1,193,0.046632124352331605,19,1,0,0,1,1249,19.9,5.2072538860103625
1099,0,18,47,9,4,18,2,2,22,7,0,1,130,0.06153846153846154,16,2,0,1,1,803,16.75,4.8076923076923075
11,0,26,74,8,5,23,7,1,28,8,0,0,181,0.06629834254143646,14,5,0,0,2,1117,16.454545454545453,4.928176795580111
110,0,29,83,5,4,25,1,3,25,7,0,0,186,0.11827956989247312,30,12,0,0,1,1176,21.444444444444443,5.021505376344086
1100,0,19,49,2,1,10,3,1,17,4,0,0,114,0.13157894736842105,18,7,0,0,0,702,10.454545454545455,4.93859649122807
1101,0,18,54,4,4,17,9,1,16,2,0,0,127,0.07874015748031496,20,2,0,0,0,808,19.0,4.9921259842519685
1102,0,53,85,16,23,29,12,4,36,18,0,1,280,0.014285714285714285,9,3,2,0,4,1649,18.733333333333334,4.746428571428571
1103,0,25,59,8,3,27,6,1,18,8,0,5,160,0.06875,17,6,0,0,1,947,13.333333333333334,4.7375
1104,0,24,42,7,4,29,7,2,19,7,0,0,142,0.02112676056338028,5,2,0,0,2,858,16.11111111111111,4.725352112676056
1105,0,14,50,2,3,12,1,6,22,5,0,0,118,0.13333333333333333,18,4,0,1,0,745,20.166666666666668,5.067796610169491
1106,0,32,78,7,8,30,8,4,25,10,0,0,209,0.06220095693779904,16,3,3,0,0,1309,19.636363636363637,4.92822966507177
1107,0,55,72,21,20,36,17,4,44,15,0,2,288,0.017241379310344827,16,5,0,2,5,1751,17.58823529411765,4.84375
1108,0,21,76,8,4,26,10,4,27,6,0,1,187,0.0582010582010582,22,11,0,0,0,1148,17.363636363636363,4.925133689839572
1109,0,18,48,7,5,15,11,0,20,7,0,0,138,0.08695652173913043,12,3,1,0,0,861,10.285714285714286,4.934782608695652
111,0,37,74,18,9,30,6,4,29,14,2,1,227,0.02643171806167401,12,3,0,0,3,1316,18.916666666666668,4.634361233480176
1110,0,36,63,11,6,26,8,2,29,14,0,1,204,0.08333333333333333,20,6,0,0,1,1193,20.6,4.642156862745098
1111,0,16,41,6,3,14,4,0,11,5,0,0,103,0.038834951456310676,12,5,0,0,0,649,21.0,4.980582524271845
1112,0,92,138,40,35,72,35,22,83,50,5,1,592,0.025252525252525252,18,3,4,4,6,3548,19.966666666666665,4.804054054054054
1113,0,28,87,11,4,27,12,1,36,6,0,0,208,0.08056872037914692,27,6,0,0,0,1387,19.545454545454547,5.375
1114,0,21,22,7,8,18,1,0,9,4,0,0,95,0.07368421052631578,4,3,1,0,3,610,19.4,5.094736842105263
1115,0,68,128,25,29,53,16,6,52,20,0,4,396,0.047979797979797977,49,15,2,0,8,2372,17.608695652173914,4.69949494949495
1116,0,41,93,20,6,37,9,4,33,11,1,0,259,0.09266409266409266,27,10,0,0,0,1620,16.4375,4.957528957528957
1117,0,11,35,0,0,10,3,0,8,1,0,0,69,0.028985507246376812,7,3,0,0,0,471,11.666666666666666,5.579710144927536
1118,0,62,97,26,23,44,19,1,49,19,0,1,360,0.030555555555555555,7,3,2,0,6,2273,19.36842105263158,5.105555555555555
1119,0,17,35,3,3,12,6,4,12,5,0,2,96,0.08333333333333333,8,1,0,0,0,636,12.25,5.354166666666667
112,0,19,57,10,3,20,10,3,27,6,0,0,160,0.0625,10,5,0,0,1,988,20.0,5.06875
1120,0,31,67,4,7,28,7,0,29,7,0,0,185,0.07027027027027027,18,10,0,0,0,1099,21.0,4.6702702702702705
1121,0,18,51,11,2,20,5,2,18,5,0,0,135,0.04411764705882353,16,11,0,0,0,786,23.166666666666668,4.5777777777777775
1122,0,9,46,1,1,2,1,12,9,0,0,1,76,0.14457831325301204,18,5,0,0,1,484,21.0,4.75
1123,0,25,62,6,9,20,9,4,24,5,0,0,160,0.05,16,2,0,0,0,989,13.333333333333334,4.99375
1124,0,48,135,9,5,53,33,5,55,18,0,2,371,0.05121293800539083,38,33,0,5,0,2313,26.928571428571427,5.091644204851752
1125,0,20,33,9,7,20,13,2,17,8,0,0,136,0.03676470588235294,5,6,1,1,1,820,15.555555555555555,4.786764705882353
1126,0,35,59,10,8,28,11,2,17,6,0,0,182,0.016483516483516484,13,1,0,0,0,1091,20.555555555555557,4.758241758241758
1127,0,20,26,9,9,10,5,0,4,5,0,1,95,0.07368421052631578,8,6,0,0,4,582,13.857142857142858,4.852631578947369
1128,0,32,56,8,6,25,6,10,28,9,0,2,194,0.04639175257731959,16,11,1,1,1,1183,17.727272727272727,4.902061855670103
1129,0,26,85,8,1,32,12,17,48,13,0,0,253,0.039525691699604744,23,15,0,0,0,1470,18.214285714285715,4.640316205533597
113,0,39,114,11,16,48,27,11,53,12,0,1,348,0.0603448275862069,27,4,0,2,3,2049,21.75,4.755747126436781
1130,0,81,167,23,36,70,21,2,61,26,1,1,511,0.0684931506849315,38,13,3,2,5,3158,24.857142857142858,4.913894324853229
1131,0,29,77,9,4,27,6,1,32,6,0,1,199,0.07035175879396985,23,12,0,0,0,1219,18.09090909090909,4.9798994974874375
1132,0,16,19,2,2,8,2,1,6,4,0,1,65,0.06153846153846154,3,3,0,0,0,393,13.2,4.7846153846153845
1133,0,40,75,12,14,37,9,4,23,14,1,0,235,0.059574468085106386,8,6,1,0,4,1389,17.0,4.714893617021277
1134,0,17,57,4,3,19,9,2,22,6,0,1,144,0.05555555555555555,14,6,0,0,0,878,16.444444444444443,4.854166666666667
1135,0,17,49,3,6,16,6,0,16,5,0,0,121,0.06611570247933884,16,4,0,0,0,778,13.666666666666666,5.132231404958677
1136,0,29,67,5,14,28,6,1,25,7,0,0,180,0.044444444444444446,16,5,0,0,1,1140,18.2,5.072222222222222
1137,0,15,29,8,9,15,9,0,8,3,0,0,98,0.061224489795918366,2,2,0,1,0,634,16.333333333333332,5.255102040816326
1138,0,23,36,2,6,17,3,1,17,4,0,0,107,0.07476635514018691,9,5,0,0,0,658,15.571428571428571,4.934579439252336
1139,0,12,64,1,2,9,0,2,18,4,0,1,112,0.10714285714285714,21,7,0,0,0,650,12.444444444444445,4.642857142857143
114,0,44,140,15,7,43,16,2,55,12,0,1,327,0.11890243902439024,27,4,0,0,0,2151,32.9,5.330275229357798
1140,0,19,61,2,5,10,4,5,23,3,0,0,135,0.044444444444444446,17,7,0,1,1,812,17.625,4.777777777777778
1141,0,19,48,5,4,19,3,4,14,4,0,0,127,0.06299212598425197,13,10,0,0,1,751,14.666666666666666,4.582677165354331
1142,0,2,9,1,1,1,0,0,3,1,0,0,17,0.17647058823529413,2,1,0,0,0,100,9.0,4.588235294117647
1143,0,31,49,13,11,24,11,1,13,9,1,1,163,0.09815950920245399,14,5,1,0,0,990,23.571428571428573,4.791411042944786
1144,0,30,44,12,15,21,11,0,12,6,0,1,153,0.0392156862745098,4,3,7,0,1,900,26.0,4.57516339869281
1145,0,2,14,2,0,3,0,2,4,0,0,0,27,0.07407407407407407,4,1,0,0,0,173,13.5,5.148148148148148
1146,0,25,35,6,13,10,8,0,8,17,0,2,126,0.0873015873015873,9,3,2,0,5,774,32.75,4.753968253968254
1147,0,45,100,14,8,55,28,10,61,7,0,1,343,0.04081632653061224,16,6,0,0,2,2126,17.3,5.02332361516035
1148,0,18,55,8,1,19,7,4,26,6,0,0,152,0.06578947368421052,16,10,0,0,0,892,19.125,4.644736842105263
1149,0,21,71,7,8,26,7,3,28,8,0,0,178,0.09550561797752809,18,4,0,1,0,1143,37.0,5.050561797752809
115,0,35,110,7,15,31,8,5,29,10,0,2,247,0.0931174089068826,26,7,2,0,3,1469,22.454545454545453,4.765182186234818
1150,0,37,68,11,6,26,6,2,28,11,0,0,207,0.07246376811594203,18,5,0,0,0,1240,19.09090909090909,4.777777777777778
1151,0,27,65,10,1,27,10,2,25,7,0,1,183,0.04918032786885246,17,7,0,0,0,1131,26.428571428571427,4.972677595628415
1152,0,5,14,2,0,2,0,0,4,2,0,0,29,0.0,1,1,0,0,0,197,14.5,5.413793103448276
1153,0,11,47,5,0,12,6,2,17,3,0,1,106,0.09433962264150944,11,9,0,0,0,585,13.25,4.339622641509434
1154,0,34,51,9,5,15,9,2,14,8,0,1,151,0.052980132450331126,9,3,0,1,0,942,16.77777777777778,5.099337748344371
1155,0,19,37,6,3,18,14,9,21,8,0,0,155,0.03225806451612903,11,6,0,0,0,847,22.142857142857142,4.348387096774194
1156,0,13,48,9,4,19,6,6,24,6,0,1,139,0.04316546762589928,14,6,0,0,0,788,19.857142857142858,4.510791366906475
1157,0,48,146,15,4,39,19,62,73,13,0,2,465,0.07157894736842105,45,36,0,1,2,2745,26.88888888888889,4.496774193548387
1158,0,35,81,10,11,29,10,0,29,12,0,1,228,0.06140350877192982,14,5,0,1,1,1353,19.333333333333332,4.732456140350878
1159,0,41,49,17,18,25,2,2,22,17,0,1,202,0.04455445544554455,15,4,1,1,5,1188,18.727272727272727,4.633663366336633
116,0,49,116,27,13,40,11,4,29,16,0,6,309,0.08571428571428572,31,12,1,1,1,1887,13.208333333333334,4.84789644012945
1160,0,15,38,6,3,15,3,0,12,4,0,0,99,0.020202020202020204,7,3,0,1,0,612,12.5,5.070707070707071
1161,0,22,49,11,1,20,6,3,18,2,0,0,134,0.04477611940298507,10,6,0,0,0,837,15.0,5.044776119402985
1162,0,29,48,10,5,24,7,1,16,11,0,2,159,0.025157232704402517,16,7,0,0,0,915,16.2,4.60377358490566
1163,0,28,51,13,9,28,5,0,25,9,0,0,170,0.047058823529411764,8,6,0,0,1,978,21.75,4.58235294117647
1164,0,21,46,6,7,19,5,4,20,7,0,0,139,0.05755395683453238,8,1,2,0,1,880,20.142857142857142,5.093525179856115
1165,0,64,98,34,21,47,37,3,46,23,0,5,389,0.056555269922879174,17,13,1,3,3,2455,16.416666666666668,5.092544987146529
1166,0,22,64,5,4,18,3,2,25,7,0,0,156,0.07051282051282051,20,10,0,0,0,949,19.75,4.878205128205129
1167,0,17,48,2,5,15,5,1,16,5,0,0,120,0.06666666666666667,10,3,0,0,0,743,15.25,4.991666666666666
1168,0,12,18,2,4,9,4,0,8,6,0,0,64,0.046875,6,1,1,0,0,385,13.0,4.765625
1169,0,35,83,7,6,31,13,0,42,12,0,1,241,0.04149377593360996,14,6,0,1,0,1520,18.615384615384617,5.145228215767635
117,0,31,136,12,6,39,9,1,57,12,0,0,307,0.09771986970684039,33,6,0,2,1,1959,27.90909090909091,5.2182410423452765
1170,0,19,59,5,8,14,8,3,23,5,0,0,147,0.06802721088435375,12,4,0,1,3,892,18.625,4.8231292517006805
1171,0,21,33,10,4,22,6,0,22,7,0,1,137,0.029197080291970802,2,2,0,0,0,773,22.833333333333332,4.452554744525547
1172,0,20,45,9,2,15,8,2,17,7,0,0,127,0.047244094488188976,11,2,0,0,0,831,21.5,5.31496062992126
1173,0,33,66,15,4,30,18,1,23,14,0,1,205,0.03414634146341464,17,8,0,0,0,1247,23.22222222222222,4.84390243902439
1174,0,17,45,5,2,18,8,1,18,4,0,0,116,0.07758620689655173,12,4,0,0,0,739,13.444444444444445,5.008620689655173
1175,0,45,72,14,36,24,8,1,21,9,2,1,242,0.049586776859504134,31,11,16,1,2,1407,15.9375,4.446280991735537
1176,0,21,52,10,11,10,2,2,18,5,0,0,134,0.05223880597014925,16,5,6,0,1,733,17.0,4.17910447761194
1177,0,21,52,2,6,21,12,1,26,5,0,1,149,0.06040268456375839,14,0,0,0,1,895,21.428571428571427,4.8389261744966445
1178,0,27,74,8,5,28,10,2,23,8,0,0,187,0.0855614973262032,19,9,0,2,1,1209,23.625,5.235294117647059
1179,0,20,64,3,9,16,8,0,23,6,0,0,148,0.033783783783783786,15,3,2,0,1,955,21.428571428571427,5.195945945945946
118,0,31,83,8,4,33,21,4,40,6,0,1,237,0.0759493670886076,15,8,0,0,0,1533,19.75,5.270042194092827
1180,0,15,41,4,1,9,3,3,11,2,0,0,88,0.09090909090909091,5,4,0,0,0,585,12.714285714285714,5.340909090909091
1181,0,29,55,4,17,20,12,4,22,7,0,2,174,0.06896551724137931,9,10,1,0,4,1028,17.6,4.724137931034483
1182,0,39,75,12,8,28,16,0,19,14,0,0,216,0.06944444444444445,18,4,0,0,0,1338,27.625,4.976851851851852
1183,0,9,13,4,1,4,4,1,4,1,0,0,40,0.05,1,0,0,0,0,265,10.5,5.325
1184,0,26,43,6,6,28,9,3,29,5,0,0,158,0.04430379746835443,9,7,0,0,0,959,17.77777777777778,4.841772151898734
1185,0,28,53,11,5,22,1,1,23,7,1,0,154,0.07142857142857142,18,6,1,0,1,921,15.8,4.707792207792208
1186,0,43,65,12,13,29,16,4,29,11,0,2,231,0.05194805194805195,17,6,0,0,1,1420,17.76923076923077,5.017316017316017
1187,0,22,36,7,7,17,8,1,9,4,0,0,116,0.07758620689655173,7,4,0,0,0,768,13.222222222222221,5.353448275862069
1188,0,16,49,4,3,17,6,5,21,6,0,0,133,0.06015037593984962,14,9,0,0,0,758,16.875,4.481203007518797
1189,0,28,86,19,8,35,20,7,32,12,0,1,250,0.036,24,9,0,2,1,1534,20.833333333333332,4.956
119,0,35,114,12,13,30,14,2,53,13,0,1,284,0.08450704225352113,29,8,1,0,1,1671,35.5,4.690140845070423
